Input voltage @ V,Load @ A,Input current @ A,Output voltage @ V,Coil temperature after 5 minutes @ °C,Chip temperature after 5 minutes @ °C,Scope image,Noise - Vpp @ mV
12,0.5,0.226,5.109,22,22,v2_1.png,40
12,1,0.445,5.098,25,24,v2_2.png,40
12,2,0.893,5.094,26,28,v2_3.png,80
12,3,1.369,5.095,33,39,v2_4.png,120
12,4,1.874,5.102,45,68,v2_5.png,140
8.4,0.5,0.312,5.112,22,22,v2_6.png,50
8.4,1,0.624,5.105,22,23,v2_7.png,50
8.4,2,1.267,5.105,25,27,v2_8.png,70
8.4,3,1.942,5.11,31,34,v2_9.png,120
8.4,4,2.658,5.13,40,43,v2_10.png,150
8.4,5,3.46,5.13,64,68,v2_11.png,170
